,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1277850,85.0
1,Memento,2000,8.4,80,1074713,84.0
2,Snatch,2000,8.3,55,751137,83.0
3,Requiem for a Dream,2000,8.3,68,732569,83.0
4,X-Men,2000,7.4,64,554133,74.0
5,Cast Away,2000,7.8,73,497183,78.0
6,American Psycho,2000,7.6,64,458854,76.0
7,Unbreakable,2000,7.3,62,373290,73.0
8,Mission: Impossible II,2000,6.1,59,302047,61.0
9,Meet the Parents,2000,7.0,73,301285,70.0
10,"O Brother, Where Art Thou?",2000,7.7,69,273804,77.0
11,Gone in 60 Seconds,2000,6.5,35,253226,65.0
12,"Crouching Tiger, Hidden Dragon",2000,7.8,94,246344,78.0
13,The Patriot,2000,7.2,63,245620,72.0
14,Almost Famous,2000,7.9,90,242546,79.0
15,Scary Movie,2000,6.2,48,223872,62.0
16,Final Destination,2000,6.7,36,220447,67.0
17,Pitch Black,2000,7.1,49,219570,71.0
18,"Me, Myself & Irene",2000,6.6,49,215936,66.0
19,The Beach,2000,6.7,43,215627,67.0
20,Amores Perros,2000,8.1,83,214544,81.0
21,How the Grinch Stole Christmas,2000,6.2,46,195141,62.0
22,Traffic,2000,7.6,86,190518,76.0
23,Remember the Titans,2000,7.8,48,190486,78.0
24,What Women Want,2000,6.4,47,185892,64.0
25,Miss Congeniality,2000,6.2,43,178690,62.0
26,Chocolat,2000,7.2,64,172883,72.0
27,Charlie's Angels,2000,5.5,52,170772,55.0
28,Chicken Run,2000,7.0,88,170536,70.0
29,The Emperor's New Groove,2000,7.3,70,170512,73.0
30,Erin Brockovich,2000,7.3,73,166455,73.0
31,Battle Royale,2000,7.6,81,163708,76.0
32,High Fidelity,2000,7.5,79,163063,75.0
33,Road Trip,2000,6.4,55,152970,64.0
34,The Perfect Storm,2000,6.4,59,151178,64.0
35,"Dude, Where's My Car?",2000,5.5,30,131465,55.0
36,Billy Elliot,2000,7.7,74,121115,77.0
37,Hollow Man,2000,5.8,24,119333,58.0
38,Scream 3,2000,5.6,56,118969,56.0
39,Shanghai Noon,2000,6.6,77,115714,66.0
40,In the Mood for Love,2000,8.1,85,114311,81.0
41,What Lies Beneath,2000,6.6,51,114135,66.0
42,The 6th Day,2000,5.9,49,113518,59.0
43,Pay It Forward,2000,7.2,40,109817,72.0
44,The Whole Nine Yards,2000,6.7,47,106709,67.0
45,Men of Honor,2000,7.2,56,103852,72.0
46,Coyote Ugly,2000,5.7,27,103706,57.0
47,The Family Man,2000,6.8,42,100004,68.0
48,Dancer in the Dark,2000,8.0,61,97858,80.0
49,Gladiator,2000,8.5,67,1277850,85.0
50,Memento,2000,8.4,80,1074713,84.0
